policy,run_id,student_id,test_id,persona,total_marks,total_score,expected_marks,expected_score,negative_penalty_total,score_per_minute,marks_per_minute,total_time_sec,overtime_sec,overtime_violation,accuracy,n_questions,unique_topics,easy_count,medium_count,hard_count,negative_marking_enabled,negative_penalty_ratio
bkt_timebudget,1,53,s53_t9,Strong Performer,82.0,70.5,71.17711975138039,56.97139968922546,11.5,1.9097655499824449,2.221287590050504,2214.931565834813,0.0,0,0.5666666666666667,30,19,9,15,6,True,0.25
mars_timebudget,1,105,s105_t18,Competent,82.0,75.0,80.15297617692794,72.6912202211599,7.0,1.7571513347828236,1.9211521260292204,2560.963253945444,0.0,0,0.8055555555555556,36,20,18,15,3,True,0.25
dkt_timebudget,1,105,s105_t18,Competent,82.0,66.5,72.95439164241155,55.19298955301444,15.5,1.3919731041706054,1.716417963037438,2866.434694783421,0.0,0,0.525,40,20,18,15,7,True,0.25
gkt_timebudget,1,105,s105_t18,Competent,78.0,61.5,75.84962497552236,58.81203121940296,16.5,1.2873134722780786,1.6326902575234168,2866.434694783421,0.0,0,0.525,40,20,18,15,7,True,0.25
bkt_timebudget,1,105,s105_t18,Competent,68.0,49.0,74.68331327552657,57.35414159440824,19.0,1.025664392546762,1.4233709937383634,2866.434694783421,0.0,0,0.475,40,20,18,15,7,True,0.25
mars_timebudget,1,112,s112_t13,Competent,54.0,49.0,55.9109941379078,51.38874267238473,5.0,1.5169840868290303,1.6717783814034213,1938.0559265756808,0.0,0,0.8,25,18,12,13,0,True,0.25
dkt_timebudget,1,112,s112_t13,Competent,54.0,39.5,56.34728039446331,42.43410049307914,14.5,1.0164843037647542,1.3896241114758665,2331.5657617360425,0.0,0,0.5333333333333333,30,21,12,13,5,True,0.25
gkt_timebudget,1,112,s112_t13,Competent,34.0,14.5,58.693768393425714,45.36721049178215,19.5,0.3731398077111122,0.874948514632953,2331.5657617360425,0.0,0,0.3666666666666666,30,21,12,13,5,True,0.25
bkt_timebudget,1,112,s112_t13,Competent,50.0,34.5,57.23685682518551,43.5460710314819,15.5,0.8878154045540257,1.2866889921072835,2331.5657617360425,0.0,0,0.4666666666666667,30,21,12,13,5,True,0.25
mars_timebudget,1,122,s122_t14,Competent,92.0,85.5,83.13536398031819,74.41920497539769,6.5,2.009645885801951,2.1624259823833856,2552.688528980751,0.0,0,0.8285714285714286,35,22,13,18,4,True,0.25
dkt_timebudget,1,122,s122_t14,Competent,84.0,66.0,79.67264584915058,60.59080731143823,18.0,1.3505492978991724,1.718880924598947,2932.1402825945866,0.0,0,0.525,40,23,13,18,9,True,0.25
gkt_timebudget,1,122,s122_t14,Competent,62.0,38.5,80.47222350255863,61.59027937819829,23.5,0.7878204237745173,1.2686978252992227,2932.1402825945866,0.0,0,0.4,40,23,13,18,9,True,0.25
bkt_timebudget,1,122,s122_t14,Competent,94.0,78.5,84.20846705962745,66.26058382453428,15.5,1.606335149774016,1.9235096060988215,2932.140282594586,0.0,0,0.55,40,23,13,18,9,True,0.25
mars_timebudget,1,125,s125_t12,Competent,126.0,117.5,121.49334466082756,111.86668082603435,8.5,1.9769011173113675,2.1199109853721896,3566.187473042743,0.0,0,0.84,50,25,21,26,3,True,0.25
dkt_timebudget,1,125,s125_t12,Competent,114.0,92.0,103.91367361942928,79.3920920242866,22.0,1.5566889820919303,1.92894069520087,3545.987710777037,0.0,0,0.52,50,26,13,28,9,True,0.25
gkt_timebudget,1,125,s125_t12,Competent,100.0,74.5,107.09450928370158,83.36813660462698,25.5,1.260579664846183,1.6920532414042722,3545.9877107770367,0.0,0,0.5,50,26,13,28,9,True,0.25
bkt_timebudget,1,125,s125_t12,Competent,52.0,17.5,93.05782231431655,68.8222778928957,34.5,0.2971295338256613,0.8828991862248221,3533.812295535994,0.0,0,0.34,50,28,19,23,8,True,0.25
mars_timebudget,1,133,s133_t10,Competent,90.0,78.5,95.749427065431,85.68678383178877,11.5,1.6106812593945374,1.8466409343376864,2924.228473217917,0.0,0,0.717948717948718,39,22,15,23,1,True,0.25
dkt_timebudget,1,133,s133_t10,Competent,72.0,54.0,73.04383245427557,55.30479056784447,18.0,1.0682755125544316,1.4243673500725755,3032.925459699623,0.0,0,0.475,40,23,15,23,2,True,0.25
gkt_timebudget,1,133,s133_t10,Competent,78.0,61.5,74.33917323071906,56.92396653839882,16.5,1.2166471115203248,1.54306462924529,3032.9254596996234,0.0,0,0.475,40,23,15,23,2,True,0.25
bkt_timebudget,1,133,s133_t10,Competent,76.0,60.0,73.4698811722765,56.83735146534563,16.0,1.216463277991719,1.5408534854561775,2959.398828662797,0.0,0,0.5384615384615384,39,22,15,22,2,True,0.25
mars_timebudget,1,136,s136_t10,Average Learner,66.0,58.5,71.49951602272704,65.37439502840878,7.5,1.4298964184181044,1.613216472061451,2454.723261621367,0.0,0,0.78125,32,19,16,15,1,True,0.25
dkt_timebudget,1,136,s136_t10,Average Learner,100.0,85.5,80.82806274288416,61.5350784286052,14.5,1.6641848549208258,1.946415034995118,3082.5902452069013,0.0,0,0.675,40,21,16,16,8,True,0.25
gkt_timebudget,1,136,s136_t10,Average Learner,84.0,65.5,82.41346856945276,63.51683571181596,18.5,1.2749018479218022,1.6349886293958988,3082.5902452069017,0.0,0,0.575,40,21,16,16,8,True,0.25
bkt_timebudget,1,136,s136_t10,Average Learner,66.0,43.0,76.96685529381338,56.70856911726678,23.0,0.8369584650479008,1.284633923096778,3082.590245206901,0.0,0,0.4,40,21,16,16,8,True,0.25
mars_timebudget,1,136,s136_t17,Average Learner,80.0,75.0,71.1888700582691,63.98608757283637,5.0,2.021461207152631,2.156225287629473,2226.1124695727226,0.0,0,0.8666666666666667,30,21,13,16,1,True,0.25
